Name,Size,Alignment,Challenge,Environments,Source,Page,Movement,Special,Damage,Type
Boggle,Small,CN,0.125,"Forest, Hill, Underdark, Urban",VGM,128,"walk, climb","Other 1, Other 2, Keen Smell, Special Action 1",bludgeoning,monsteresque
Azza Gremlin,Small,N,0.25,"Desert, Grassland, Hill, Mountain",TOB,28,"walk, fly","Other 1, Special Action 1, Special Reaction 1",lightning,elementalesque
Blink Dog,Medium,LG,0.25,Forest,MM,318,walk,"Keen Hearing and Smell, SPecial Action 1",piercing,animalesque
Bloodsprite,Tiny,NE,0.25,"Forest, Grassland, Hill, Swamp, Urban",MC,161,"walk, fly",Other 1,"piercing, poison",humanesque
Clurichaun,Tiny,CN,0.25,"Grassland, Hill, Urban",TOB,67,"walk, fly","Other 1, Innate Spellcasting, Magic Resistance","bludgeoning, piercing, slashing",humanesque
Doubt Trout,Tiny,Unaligned,0.25,"Coastal, Swamp, Underwater",MOF,16,walk,"Other 1, Magic Resistance, Other 2, Water Breathing",piercing,animalesque
Living Shade,Medium,N,0.25,"Arctic, Coastal, Forest, Grassland, Hill, Mountain, Swamp, Urban",CC,255,walk,"Other 1, Other 2, Other 3",cold,monsteresque
Morko,Small,CE,0.25,Urban,CC,270,walk,"Magic Resistance, Special Action 1, Special Action 2",piercing,humanesque
Page Aaleear (1 HD),Small,G,0.25,"Forest, Grassland, Hill, Urban",MC,161,walk,"Innate Spellcasting, Other 1",piercing,humanesque
Pixie,Tiny,NG,0.25,Forest,MM,253,"walk, fly","Magic Resistance, Innate Spellcasting, Special Action 1",none,humanesque
Sprite,Tiny,NG,0.25,Forest,MM,283,"walk, fly","Special Action 1, Special Action 2, Special Action 3",slashing,humanesque
Autumn Faerie,Tiny,CE,0.5,"Forest, Grassland, Swamp",MOF,28,"walk, fly","Innate Spellcasting, Magic Resistance","slashing, poison",humanesque
Brownie,Small,CG,0.5,"Forest, Grassland, Swamp",MOF,11,walk,"Fey Ancestry, Innate Spellcasting, Special Action 1",piercing,humanesque
Bucca,Tiny,NE,0.5,"Hill, Mountain, Underdark",TOB,46,"walk, fly","Flyby, Other 1, Innate Spellcasting, Special Action 1","piercing, ability",monsteresque
Changeling,Medium,Unaligned,0.5,"Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark, Urban",MOF,14,walk,"Other 1, Other 2, Shapechanger",piercing,shapechanger
Darkling,Small,CN,0.5,"Forest, Swamp, Underdark, Urban",VGM,134,walk,"Other 1, Other 2",piercing,humanesque
Foxin,Small,N,0.5,"Coastal, Forest, Grassland, Hill, Swamp, Underdark, Urban",CC,163,walk,"Keen Senses, Other 1, Special Action 1, Special Action 2",piercing,animalesque
Fraughashar,Small,NE,0.5,"Arctic, Mountain",TOB,206,walk,"Other 1, Multiattack 2","piercing, bludgeoning",monsteresque
Lake Gnome,Tiny,CG,0.5,"Coastal, Hill, Mountain, Swamp, Underwater",MOF,39,"walk, swim","Amphibious, Other 1, Innate Spellcasting, Magic Resistance, Camouflage, Special Action 1",piercing,gnome
Log Shadow,Medium,CN,0.5,"Forest, Swamp",MOF,52,fly,"Other 1, Magic Resistance, Special Action 1",bludgeoning,monsteresque
Miremal,Small,CE,0.5,Swamp,TOB,292,"walk, swim","Amphibious, Camouflage, Other 1, Multiattack 2, Special Action 1, Special Reaction 1","slashing, piercing",monsteresque
Rum Gremlin,Tiny,CE,0.5,"Coastal, Swamp, Urban",TOB,239,"walk, climb, swim","Innate Spellcasting, Magic Resistance, Multiattack 2, Special Action 1","piercing, slashing",monsteresque
Satyr,Medium,CN,0.5,Forest,MM,267,walk,Magic Resistance,"bludgeoning, piercing",monsteresque
Skitterwing,Tiny,NE,0.5,"Coastal, Swamp",MC,173,"walk, fly","Other 1, Other 2, Special Action 1",slashing,monsteresque
Spring Faerie,Tiny,CG,0.5,"Forest, Grassland, Hill",MOF,29,"walk, fly","Innate Spellcasting, Magic Resistance","piercing, lightning",humanesque
Summer Faerie,Tiny,CG,0.5,"Desert, Forest, Grassland",MOF,30,"walk, fly","Innate Spellcasting, Magic Resistance","piercing, fire",humanesque
